name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Harlequin,27 Arlington Way,London,Finsbury,E09000019,Islington,,E05000370,Clerkenwell,,-0.10610658511907134,51.53011014612802,531466.9643811077,182943.92322504142,01/19/2020
Peasant,240 St John Street,London,Finsbury,E09000019,Islington,,E05000370,Clerkenwell,,-0.1032631025020614,51.52602647776972,531675.9643233488,182494.92334804218,01/19/2020
Blues Kitchen,134 Curtain Road,London,Shoreditch,E09000012,Hackney,,E05009377,Hoxton East & Shoreditch,,-0.07997231300011513,51.52656454334939,533289.9638825976,182596.92331800488,01/19/2020
Caraway Lounge,290 North Street,Romford,,E09000016,Havering,,E05000306,Brooklands,,0.17274672543277814,51.585186745646936,550625.9591717031,189605.9214140277,01/19/2020
Rye,31 Peckham Rye,Peckham,London,E09000028,Southwark,,E05011113,Rye Lane,,-0.06539738721431776,51.464652411797815,534482.9635583641,175738.92517991067,01/19/2020
Eleven,5 Fernlea Road,Balham,,E09000032,Wandsworth,,E05000610,Balham,,-0.14826945321323656,51.44285263704494,528787.965107328,173165.92588280002,01/19/2020
Royal,Boston Road,Hanwell,,E09000009,Ealing,,E05000182,Northfield,,-0.32656310813794753,51.49829164143888,516256.96851430944,179032.9242864498,01/19/2020
Bitter End Bar,139 Masons Hill,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.02524008403156215,51.39620557790606,540988.9617902413,168297.9272050094,01/19/2020
Hope,3 Melon Road,Peckham,London,E09000028,Southwark,,E05011110,Peckham,,-0.07103817649275285,51.473594396262285,534064.9636725195,176722.92491378094,01/19/2020
Blues Kitchen,40 Acre Lane,Brixton,,E09000022,Lambeth,,E05000421,Ferndale,,-0.12041312354054397,51.460313880106504,530673.9645917199,175156.9253405594,01/19/2020
Richmal Crompton,23 Westmoreland Place,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01629690684301556,51.39976786491423,540355.9619632727,168676.92709987512,01/19/2020
